what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384207359597
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1384207555480
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384207558122
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1384207560010
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384207560100
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384207561751
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1384207562984
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384207564505
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1384207575248
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384207578103
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1384207579789
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384207579807
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384207581492
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1384207582689
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384207584211
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1384207668165
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384207679306
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384207681660
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384207683305
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384207720111
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1384207730908
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.shiftLeft,1384207734025
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.shiftLeft,1384207735224
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.shiftLeft,1384207736341
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384207738378
