what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386694270115
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1386694275572
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1386694277721
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1386694290820
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.properties,1386694294752
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386694294766
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386694318471
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386694326699
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386694328560
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386694340184
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386694341769
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386694343827
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386694345007
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386694351681
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386694353319
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386694355178
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386882729809
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386882810036
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1386882812095
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1386882816592
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1386882817792
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1386882818519
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1386882819349
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1386882819533
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1386882819721
