what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1396919969125
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1396919969998
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.buildProject,1396919970801
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1396919971242
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1396919975733
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1396919978187
executed,command,,,com.altera.sbtgui.launch.iss.Nios2IssLaunchShortcut.run,1396919979499
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1396919979514
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1396919979520
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1396919980364
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1396919982383
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1396919984420
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1396919984436
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1396919986550
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1396919987580
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1396919989463
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1396920040108
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1396920041747
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1396920043579
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1396920043623
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1396920045317
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1396920046360
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1396920048241
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1396920056052
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1396920091504
